Video ID,Start,Duration,Text
O36lgfQ7mDk,0.06,3.989,all right The Witcher yes I've seen the
O36lgfQ7mDk,1.77,4.109,requests and stuff takes time right so
O36lgfQ7mDk,4.049,4.111,the Witcher is a series on Netflix that
O36lgfQ7mDk,5.879,4.201,is based off of The Witcher books which
O36lgfQ7mDk,8.16,3.96,the games are also based off of but as I
O36lgfQ7mDk,10.08,4.469,understand this series is based off of
O36lgfQ7mDk,12.12,4.47,the books not necessarily the game and
O36lgfQ7mDk,14.549,4.471,it's this medieval world with magic and
O36lgfQ7mDk,16.59,3.689,warring kingdoms basically hitting at
O36lgfQ7mDk,19.02,3.179,the time they're like I have people
O36lgfQ7mDk,20.279,3.541,totally need they need that Game of
O36lgfQ7mDk,22.199,2.941,Thrones fix and there's no game of
O36lgfQ7mDk,23.82,2.76,Thrones the fact they've needed a game
O36lgfQ7mDk,25.14,2.729,of Thrones fix since before Game of
O36lgfQ7mDk,26.58,2.73,Thrones actually hit and did it for
O36lgfQ7mDk,27.869,2.91,being honest so it's a good time for The
O36lgfQ7mDk,29.31,3.33,Witcher and the meat and bones like the
O36lgfQ7mDk,30.779,3.541,heart of the series for me it's the
O36lgfQ7mDk,32.64,4.2,character Jarrell's he's a Witcher which
O36lgfQ7mDk,34.32,5.04,I don't know much about witchers as I
O36lgfQ7mDk,36.84,4.77,understand their kind of magical mutant
O36lgfQ7mDk,39.36,4.109,people that people actually don't really
O36lgfQ7mDk,41.61,3.51,like and there's not a lot of them
O36lgfQ7mDk,43.469,4.41,anymore I say from what I understand
O36lgfQ7mDk,45.12,6.419,because all right hold on I don't know I
O36lgfQ7mDk,47.879,6.351,don't know if leather blocks pitchforks
O36lgfQ7mDk,51.539,4.921,I got a got to protect myself okay I
O36lgfQ7mDk,54.23,3.669,can't believe I'm gonna say this I think
O36lgfQ7mDk,56.46,2.55,I've said it in other videos but this is
O36lgfQ7mDk,57.899,2.791,what your BAE
O36lgfQ7mDk,59.01,3.24,I haven't played The Witcher games put
O36lgfQ7mDk,60.69,3.06,the keyboard down typing hateful
O36lgfQ7mDk,62.25,3.72,comments I'll make you go blind so I
O36lgfQ7mDk,63.75,3.479,heard okay those lives oh yeah so I
O36lgfQ7mDk,65.97,3.27,haven't played The Witcher game so as
O36lgfQ7mDk,67.229,4.471,I'm watching The Witcher series I'm just
O36lgfQ7mDk,69.24,4.559,coming at it as a person who hey I like
O36lgfQ7mDk,71.7,3.57,a good series so let's watch The Witcher
O36lgfQ7mDk,73.799,3.21,don't know much about the lore I know of
O36lgfQ7mDk,75.27,3.15,Geralt and I know of yennefer because we
O36lgfQ7mDk,77.009,2.761,all know a few nifer so the main
O36lgfQ7mDk,78.42,3.18,character Geralt he has a really
O36lgfQ7mDk,79.77,2.97,interesting story but you don't see a
O36lgfQ7mDk,81.6,3.0,lot of his story it's just what you've
O36lgfQ7mDk,82.74,3.66,heard about I hope to see more of his
O36lgfQ7mDk,84.6,3.42,backstory as a series goes on before
O36lgfQ7mDk,86.4,3.539,right now is just a lot of intrigue with
O36lgfQ7mDk,88.02,4.139,him but man henry cavill bring some
O36lgfQ7mDk,89.939,4.11,charisma to that character at first I
O36lgfQ7mDk,92.159,4.831,was like it's that's a voice you're
O36lgfQ7mDk,94.049,4.32,doing he talks like this all the time I
O36lgfQ7mDk,96.99,3.18,don't know if it's because I know Henry
O36lgfQ7mDk,98.369,3.091,Cavill voice but at first I couldn't get
O36lgfQ7mDk,100.17,2.97,it out of my head that's like he's just
O36lgfQ7mDk,101.46,3.42,doing a voice right at any character who
O36lgfQ7mDk,103.14,3.33,sounds different than the actor they're
O36lgfQ7mDk,104.88,3.0,doing a voice but sometimes it just it
O36lgfQ7mDk,106.47,2.939,doesn't sound weird at first you just
O36lgfQ7mDk,107.88,3.449,kind of roll with it from the get-go
O36lgfQ7mDk,109.409,3.511,this one took me a couple episodes wait
O36lgfQ7mDk,111.329,3.051,a minute I'm he delivered one of these
O36lgfQ7mDk,112.92,4.019,moments mm-hmm
O36lgfQ7mDk,114.38,4.33,[ __ ] that was probably before that but
O36lgfQ7mDk,116.939,2.701,that's definitely that's a marker those
O36lgfQ7mDk,118.71,3.24,momma's your point you're like look
O36lgfQ7mDk,119.64,4.56,that's why he's epic it's actually this
O36lgfQ7mDk,121.95,4.41,series if I'm being honest took me an
O36lgfQ7mDk,124.2,3.51,episode or two to actually get into the
O36lgfQ7mDk,126.36,3.209,first episode I was like alright well
O36lgfQ7mDk,127.71,3.329,that episode happened but I heard the
O36lgfQ7mDk,129.569,3.841,show's good so I'll keep watching but at
O36lgfQ7mDk,131.039,2.881,a point just a charm of the whole series
O36lgfQ7mDk,133.41,1.98,in the end
O36lgfQ7mDk,133.92,2.94,trigger the characters it hooked me and
O36lgfQ7mDk,135.39,4.23,that's what does hook in fact the
O36lgfQ7mDk,136.86,4.86,character I loved most is definitely
O36lgfQ7mDk,139.62,4.08,yennefer no offense Henry you're still a
O36lgfQ7mDk,141.72,3.9,snack we all know that which I guess
O36lgfQ7mDk,143.7,3.24,also he's a big video game nerd and he's
O36lgfQ7mDk,145.62,2.82,a fan of The Witcher and that's why he
O36lgfQ7mDk,146.94,3.87,took the role that's amazing but
O36lgfQ7mDk,148.44,4.799,yennefer yennefer was great and heard
O36lgfQ7mDk,150.81,3.84,her tragedy is really the heart of the
O36lgfQ7mDk,153.239,2.731,show for me I guess there was a bit of
O36lgfQ7mDk,154.65,3.059,controversy surrounding yennefer
O36lgfQ7mDk,155.97,3.63,storyline I guess controversy might be a
O36lgfQ7mDk,157.709,3.331,strong term some people there were some
O36lgfQ7mDk,159.6,3.06,tweets I don't see that perspective
O36lgfQ7mDk,161.04,3.69,because I don't feel like this show was
O36lgfQ7mDk,162.66,4.56,ever saying yes she made the right call
O36lgfQ7mDk,164.73,4.259,she's perfectly happy yep she did it and
O36lgfQ7mDk,167.22,3.45,she's living her perfect life but she's
O36lgfQ7mDk,168.989,3.631,not she's actually quite miserable it's
O36lgfQ7mDk,170.67,3.539,a great cautionary tale about how beauty
